Sample,Orientation,Type,Depth,Bulk_Density
SQMF,East_West,Non_rip,5,99
SQMF,East_West,Non_rip,10,1.416083916
SQMF,East_West,Non_rip,25,1.440559441
SQMF,East_West,Non_rip,35,1.26981352
SQMF,East_West,Non_rip,40,1.45503108
SQMF,East_West,Non_rip,45,1.389568765
SQMF,East_West,Non_rip,60,99
SQMF,East_West,Mound,5,1.176573427
SQMF,East_West,Mound,15,1.193667444
SQMF,East_West,Mound,25,1.469599845
SQMF,East_West,Mound,35,1.490870241
SQMF,East_West,Mound,45,1.548562549
SQMF,East_West,Mound,55,1.51544289
SQMF,East_West,Rip,5,1.324592075
SQMF,East_West,Rip,15,1.486985237
SQMF,East_West,Rip,20,1.432595183
SQMF,East_West,Rip,30,1.428321678
SQMF,East_West,Rip,35,1.46037296
SQMF,East_West,Rip,40,1.429487179
SQMF,East_West,Rip,50,1.43045843
SQMS,North_South,Non_rip,5,1.121406371
SQMS,North_South,Non_rip,10,1.463480963
SQMS,North_South,Non_rip,15,1.387237762
SQMS,North_South,Non_rip,20,1.508061383
SQMS,North_South,Non_rip,25,1.441919192
SQMS,North_South,Non_rip,30,1.466686092
SQMS,North_South,Non_rip,35,1.483391608
SQMS,North_South,Non_rip,40,1.41958042
SQMS,North_South,Non_rip,50,1.427738928
SQMS,North_South,Non_rip,60,1.366161616
SQMS,North_South,Rip,5,1.218725719
SQMS,North_South,Rip,10,1.492327117
SQMS,North_South,Rip,15,1.440462315
SQMS,North_South,Rip,20,1.314491064
SQMS,North_South,Rip,30,1.287490287
SQMS,North_South,Rip,35,1.269133644
SQMS,North_South,Rip,40,1.254467754
SQMS,North_South,Rip,45,1.384226884
SQMS,North_South,Rip,50,1.28506216
SQMS,North_South,Rip,60,1.341491841
SQMS,East_West,Non_rip,5,1.077408702
SQMS,East_West,Non_rip,10,1.026029526
SQMS,East_West,Non_rip,15,1.312937063
SQMS,East_West,Non_rip,20,1.213383838
SQMS,East_West,Non_rip,25,99
SQMS,East_West,Non_rip,30,99
SQMS,East_West,Non_rip,35,99
SQMS,East_West,Non_rip,40,99
SQMS,East_West,Non_rip,45,99
SQMS,East_West,Non_rip,50,1.4504662
SQMS,East_West,Non_rip,55,1.482614608
SQMS,East_West,Non_rip,60,1.438616939
SQMS,East_West,Rip,5,1.085761461
SQMS,East_West,Rip,10,1.238927739
SQMS,East_West,Rip,15,1.039238539
SQMS,East_West,Rip,20,1.035742036
SQMS,East_West,Rip,25,1.370337995
SQMS,East_West,Rip,30,1.472999223
SQMS,East_West,Rip,35,1.441142191
SQMS,East_West,Rip,40,1.425019425
SQMS,East_West,Rip,45,1.313422688
SQMS,East_West,Rip,50,1.19493007
SQMS,East_West,Rip,55,1.539238539
SQMS,East_West,Rip,60,1.396853147
SR05,NA,Reference,5,1.049630925
SR05,NA,Reference,10,1.192210567
SR05,NA,Reference,15,1.11965812
SR05,NA,Reference,20,1.271076146
SR05,NA,Reference,25,1.227078477
