sample,latitude,longitude,site,site_type,pre_rip_bulk_density,post_rip_bulk_density,sample_position_bulk_density
C01,41.39088889,-81.63441667,CT,mine,0.97,NA,NA
C03,41.39044444,-81.63444444,CT,mine,0.87,NA,NA
C04,41.39066667,-81.63413889,CT,mine,1.23,NA,NA
C06,41.38983333,-81.63469444,CT,mine,1.08,NA,NA
C07,41.39005556,-81.63441667,CT,mine,1.27,NA,NA
C08,41.39025,-81.63413889,CT,mine,0.78,NA,NA
C09,41.39047222,-81.63386111,CT,mine,1,NA,NA
C20,41.38941667,-81.63413889,CT,mine,1.39,NA,NA
C21,41.38963889,-81.63383333,CT,mine,1.54,NA,NA
C22,41.38983333,-81.63361111,CT,mine,1.61,NA,NA
C23,41.39005556,-81.63325,CT,mine,1.5,NA,NA
C28,41.38919444,-81.63386111,CT,mine,1.3,NA,NA
C29,41.38938889,-81.63352778,CT,mine,1.65,NA,NA
C30,41.38963889,-81.63325,CT,mine,1.32,NA,NA
C31,41.38983333,-81.63297222,CT,mine,1.14,NA,NA
C39,41.38952778,-81.63458333,CT,mine,1.38,NA,NA
C40,41.38972222,-81.63427778,CT,mine,1.07,NA,NA
C41,41.38994444,-81.634,CT,mine,1,NA,NA
C42,41.39013889,-81.63369444,CT,mine,0.51,NA,NA
C51,41.38930556,-81.63333333,CT,mine,1.23,NA,NA
C52,41.3895,-81.63311111,CT,mine,1.43,NA,NA
R02,41.39363889,-81.63822222,RR,mine,1.05,NA,NA
R04,41.39361111,-81.63766667,RR,mine,1.01,NA,NA
R06,41.39363889,-81.63708333,RR,mine,1.22,NA,NA
R08,41.39341667,-81.63822222,RR,mine,1.07,NA,NA
R10,41.39361111,-81.63763889,RR,mine,1.24,NA,NA
R12,41.39341667,-81.63708333,RR,mine,1.09,NA,NA
R14,41.39341667,-81.63647222,RR,mine,1.33,NA,NA
R16,41.39319444,-81.63766667,RR,mine,1.01,NA,NA
R18,41.39319444,-81.63705556,RR,mine,1.12,NA,NA
R20,41.39319444,-81.6365,RR,mine,0.99,NA,NA
R22,41.39319444,-81.63591667,RR,mine,1.23,NA,NA
R24,41.393,-81.63736111,RR,mine,0.91,NA,NA
R26,41.39383333,-81.63677778,RR,mine,1,NA,NA
R28,41.39297222,-81.63619444,RR,mine,1.45,NA,NA
R30,41.393,-81.63561111,RR,mine,1.19,NA,NA
R32,41.39277778,-81.63708333,RR,mine,1.1,NA,NA
R34,41.39255556,-81.63708333,RR,mine,1.35,NA,NA
CRR01,41.37936861,-81.63357444,CTR,reference,0.39,NA,NA
CRR02,41.37936861,-81.63241472,CTR,reference,0.59,NA,NA
CRR03,41.37934028,-81.63129278,CTR,reference,0.51,NA,NA
CRR04,41.37894056,-81.632985,CTR,reference,0.52,NA,NA
CRR05,41.37894056,-81.63186333,CTR,reference,0.79,NA,NA
CRR06,41.378955,-81.63070333,CTR,reference,0.83,NA,NA
CRR07,41.37852694,-81.63355556,CTR,reference,0.52,NA,NA
CRR08,41.3785125,-81.63239556,CTR,reference,0.54,NA,NA
CRR09,41.3785125,-81.63127389,CTR,reference,0.69,NA,NA
CRR10,41.37811306,-81.63302306,CTR,reference,0.61,NA,NA
CRR11,41.37811306,-81.63188222,CTR,reference,0.54,NA,NA
CRR12,41.37809889,-81.63072222,CTR,reference,0.59,NA,NA
D02,41.28905556,-81.55888889,DV,mine,1.23,0.96,0
D03,41.28905556,-81.55847222,DV,mine,1.06,0.75,1
D04,41.28905556,-81.558,DV,mine,0.93,1.13,2
D05,41.28905556,-81.55755556,DV,mine,1.17,0.87,0
D06,41.28905556,-81.55711111,DV,mine,1.05,0.71,1
D07,41.28905556,-81.55666667,DV,mine,1.19,0.89,0
D08,41.28905556,-81.55622222,DV,mine,0.96,0.78,0
D12,41.28872222,-81.55888889,DV,mine,0.94,0.71,1
D13,41.28872222,-81.55847222,DV,mine,1.13,1,2
D14,41.28872222,-81.558,DV,mine,0.89,1.34,2
D15,41.28872222,-81.55755556,DV,mine,0.87,1.08,1
D16,41.28872222,-81.55711111,DV,mine,0.93,0.68,0
D17,41.28869444,-81.55666667,DV,mine,0.98,1.09,2
D18,41.28872222,-81.55622222,DV,mine,1.14,0.83,1
D19,41.28872222,-81.55575,DV,mine,0.7,0.5,0
D20,41.28872222,-81.55530556,DV,mine,1.03,0.61,0
D23,41.28838889,-81.55888889,DV,mine,0.87,0.23,2
D24,41.28838889,-81.55847222,DV,mine,1.23,0.57,0
D25,41.28836111,-81.558,DV,mine,1.07,1.02,1
D26,41.28838889,-81.55755556,DV,mine,0.98,1.15,1
D27,41.28838889,-81.55711111,DV,mine,0.92,1.23,2
D28,41.28838889,-81.55666667,DV,mine,1.08,1.05,2
D29,41.28838889,-81.55622222,DV,mine,1,1.09,1
D30,41.28838889,-81.55577778,DV,mine,1.08,1.12,1
D31,41.28838889,-81.55530556,DV,mine,1.28,1,0
D32,41.28802778,-81.55888889,DV,mine,1.12,1.16,2
D33,41.28802778,-81.55847222,DV,mine,0.87,0.95,1
D34,41.28802778,-81.558,DV,mine,0.96,0.9,1
D35,41.28802778,-81.55755556,DV,mine,0.82,1.11,1
D36,41.28802778,-81.55711111,DV,mine,1.16,0.87,0
D37,41.28802778,-81.55666667,DV,mine,0.91,1.25,1
D38,41.28802778,-81.55622222,DV,mine,0.84,0.86,2
D39,41.28802778,-81.55577778,DV,mine,0.78,1.17,1
D41,41.28769444,-81.55847222,DV,mine,1.2,0.66,0
D42,41.28769444,-81.558,DV,mine,0.94,1.26,2
D43,41.28769444,-81.55755556,DV,mine,1.01,0.93,0
DR01,41.28885944,-81.56042083,DVR,reference,1.02,NA,NA
DR02,41.28888111,-81.56006417,DVR,reference,0.83,NA,NA
DR03,41.28854889,-81.56046361,DVR,reference,1.32,NA,NA
DR04,41.2885275,-81.56005,DVR,reference,1.07,NA,NA
DR05,41.28821667,-81.56049194,DVR,reference,0.98,NA,NA
DR06,41.28820583,-81.56003583,DVR,reference,0.91,NA,NA
DR07,41.28788944,-81.56048861,DVR,reference,0.84,NA,NA
DR08,41.28788944,-81.56048861,DVR,reference,0.85,NA,NA
DR10,41.28821194,-81.56093167,DVR,reference,1.1,NA,NA
H02,41.26626778,-81.54583722,HH,mine,1.21,NA,NA
H04,41.26605333,-81.54614028,HH,mine,0.85,NA,NA
H06,41.26605333,-81.54557583,HH,mine,1.26,NA,NA
H08,41.26584333,-81.5461225,HH,mine,1.19,NA,NA
H10,41.26583889,-81.54557583,HH,mine,1.35,NA,NA
H13,41.26562889,-81.545855,HH,mine,1.3,NA,NA
H15,41.26562444,-81.54528472,HH,mine,1.52,NA,NA
H17,41.26541917,-81.54557583,HH,mine,1.05,NA,NA
H19,41.26541472,-81.54500528,HH,mine,1.21,NA,NA
H23,41.26499472,-81.54527278,HH,mine,1.4,NA,NA
H25,41.26477778,-81.54558333,HH,mine,0.95,NA,NA
H27,41.26458333,-81.54641667,HH,mine,0.94,NA,NA
H29,41.26458333,-81.54586111,HH,mine,1.15,NA,NA
H31,41.26458333,-81.54527778,HH,mine,1.07,NA,NA
H33,41.26436111,-81.54613889,HH,mine,1.04,NA,NA
H35,41.26436111,-81.54555556,HH,mine,1.21,NA,NA
H37,41.26413889,-81.54641667,HH,mine,1.12,NA,NA
H39,41.26413889,-81.54586111,HH,mine,0.78,NA,NA
H41,41.26413889,-81.54527778,HH,mine,0.97,NA,NA
H43,41.26394444,-81.54613889,HH,mine,0.9,NA,NA
H45,41.26394444,-81.54558333,HH,mine,1.02,NA,NA
H47,41.26372222,-81.54613889,HH,mine,1.29,NA,NA
H49,41.26372222,-81.54558333,HH,mine,0.85,NA,NA
HR07,41.26252778,-81.54494444,HHR,reference,0.85,NA,NA
HR08,41.26252778,-81.54458333,HHR,reference,1.04,NA,NA
HR09,41.26252778,-81.54422222,HHR,reference,1.16,NA,NA
HR10,41.26252778,-81.54383333,HHR,reference,0.89,NA,NA
HR11,41.26225,-81.54497222,HHR,reference,1.19,NA,NA
HR12,41.26225,-81.54458333,HHR,reference,1.16,NA,NA
HR13,41.26225,-81.54422222,HHR,reference,1.22,NA,NA
HR14,41.26225,-81.54383333,HHR,reference,1.31,NA,NA
HR15,41.26197222,-81.54497222,HHR,reference,1.13,NA,NA
HR16,41.26197222,-81.54458333,HHR,reference,1.2,NA,NA
HR17,41.26197222,-81.54422222,HHR,reference,1.19,NA,NA
HR18,41.26197222,-81.54383333,HHR,reference,1.17,NA,NA
S02,41.28394444,-81.576,SQ,mine,1.12,NA,NA
S03,41.28422222,-81.57827778,SQ,mine,NA,1.4,2
S04,41.28411111,-81.57783333,SQ,mine,1.27,1.12,1
S05,41.284,-81.57744444,SQ,mine,NA,1.22,0
S06,41.28375,-81.57661111,SQ,mine,0.97,NA,NA
S07,41.28361111,-81.57619444,SQ,mine,NA,1.32,2
S08,41.28402778,-81.57883333,SQ,mine,1.18,1.44,1
S09,41.28391667,-81.57844444,SQ,mine,NA,1.25,0
S10,41.28380556,-81.57802778,SQ,mine,1.1,1.38,2
S11,41.28369444,-81.57761111,SQ,mine,NA,0.86,1
S12,41.28355556,-81.57716667,SQ,mine,0.93,0.9,0
S13,41.28341667,-81.57675,SQ,mine,NA,1.04,1
S14,41.28330556,-81.57633333,SQ,mine,0.95,1.18,1
S16,41.28361111,-81.57897222,SQ,mine,1.11,1.14,1
S17,41.28358333,-81.57858333,SQ,mine,NA,1.01,0
S18,41.2835,-81.57819444,SQ,mine,1.12,1.4,1
S19,41.28336111,-81.57775,SQ,mine,NA,1.33,2
S20,41.28325,-81.57733333,SQ,mine,0.9,1.01,0
S20,41.28325,-81.57733333,SQ,mine,0.9,1.34,1
S21,41.28313889,-81.57691667,SQ,mine,NA,1.37,2
S21,41.28313889,-81.57691667,SQ,mine,NA,1.25,0
S22,41.283,-81.57652778,SQ,mine,0.93,1.43,2
S23,41.28338889,-81.57911111,SQ,mine,NA,1.29,2
S24,41.28330556,-81.57875,SQ,mine,1.04,1.38,1
S25,41.28316667,-81.57833333,SQ,mine,NA,1.18,2
S26,41.28308333,-81.57791667,SQ,mine,1.16,1.27,1
S27,41.28291667,-81.5775,SQ,mine,NA,1.25,2
S28,41.28283333,-81.57708333,SQ,mine,1.05,1.2,0
S29,41.28269444,-81.57666667,SQ,mine,NA,1.26,1
S30,41.28255556,-81.57625,SQ,mine,0.93,1.28,2
S32,41.28311111,-81.57933333,SQ,mine,1.03,0.8,0
S33,41.28297222,-81.57894444,SQ,mine,NA,0.96,0
S34,41.28286111,-81.5785,SQ,mine,1.25,0.93,0
S35,41.28275,-81.57808333,SQ,mine,NA,1.46,1
S36,41.28261111,-81.57766667,SQ,mine,1.17,1.46,2
S37,41.2825,-81.57725,SQ,mine,NA,1.09,0
S38,41.28238889,-81.57680556,SQ,mine,NA,1.03,0
S39,41.28225,-81.57638889,SQ,mine,NA,1.17,1
S40,41.28277778,-81.5795,SQ,mine,1.46,1.18,0
S41,41.28205556,-81.577,SQ,mine,NA,1.45,2
S42,41.28194444,-81.57658333,SQ,mine,1.21,1.33,1
SR01,41.28066778,-81.58241639,SQR,reference,0.5,NA,NA
SR02,41.28083389,-81.58210083,SQR,reference,0.99,NA,NA
SR03,41.28099139,-81.58176583,SQR,reference,0.9,NA,NA
SR04,41.2811575,-81.58145694,SQR,reference,0.79,NA,NA
SR05,41.28158583,-81.58158167,SQR,reference,0.62,NA,NA
SR06,41.28141972,-81.5818775,SQR,reference,0.59,NA,NA
SR07,41.28126222,-81.58219944,SQR,reference,0.81,NA,NA
SR08,41.28166444,-81.58233083,SQR,reference,0.78,NA,NA
SR09,41.28181333,-81.58201556,SQR,reference,0.72,NA,NA
SR10,41.28199694,-81.58168694,SQR,reference,0.91,NA,NA
SR11,41.28207556,-81.58243611,SQR,reference,0.56,NA,NA
